Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
2.1262253947112466e-20,0.054700809901540644,5.499430528982415e-18,1.0436218497273647e-29,3.9886383158938156e-17,1.6477647903063637e-145,2.7543501172824263e-17,0.938,4.15841456115787e-81,1.6716941397585344e-15,1.2042181547182784e-42,2.2044070148471345e-17,2.291429386898397e-16,0.0,0.0,0.034625753121848804,0.009999999999999166,0.04999999999999995,1.3390384560149325e-97,2.0732112859945744e-102,0.0019999999999997654,2.583537263830011e-158
4.252451014725467e-20,0.054700809901540644,1.0998861640721642e-17,4.1744877306736383e-29,7.977277054273557e-17,8.436558460911913e-143,5.5087005759667365e-17,0.938,1.3306928600636575e-79,3.3433884571510777e-15,9.633746130985738e-42,4.408814213746355e-17,4.582859016256918e-16,0.0,0.0,0.034625753121846806,0.00999999999999833,0.049999999999999885,2.142461651257446e-96,1.326855426172363e-100,0.001999999999999531,2.645543016500945e-155
8.504902254753908e-20,0.054700809901540644,2.1997723864248475e-17,1.6697951586257128e-28,1.595455453053671e-16,4.319518632695211e-140,1.1017401641956593e-16,0.938,4.2582174737038086e-78,6.686777093420886e-15,7.706997262101999e-41,8.817628462938865e-17,9.165718273928465e-16,0.0,0.0,0.034625753121842816,0.009999999999996657,0.04999999999999976,3.4279387394474446e-95,8.491875378944567e-99,0.0019999999999990616,2.709036488783539e-152
1.700980473481079e-19,0.054700809901540644,4.3995448311495623e-17,6.679180767242711e-28,3.19091094810777e-16,5.4679818914438e-137,2.203480436842122e-16,0.938,1.3626296438649833e-76,1.3373554371899378e-14,6.165597952634985e-40,1.7635256366900196e-16,1.8331436785089588e-15,0.0,0.0,0.03462575312183483,0.009999999999993315,0.04999999999999951,3.427938771865665e-95,5.43480045429666e-97,0.001999999999998123,6.854628401118512e-149
3.4019609694924554e-19,0.054700809901540644,8.799089720676388e-17,2.6716723334669364e-27,6.381821937421839e-16,2.8028632046287626e-134,4.406961219928981e-16,0.938,4.3604149475819355e-75,2.6747108952611866e-14,4.93247841933425e-39,3.5270509797128415e-16,3.666287379068394e-15,0.0,0.0,0.03462575312181886,0.009999999999986627,0.04999999999999902,3.427942921806024e-95,3.4782723613502575e-95,0.001999999999996246,7.031381428043805e-146
6.803921961515209e-19,0.054700809901540644,1.759817950003963e-16,1.0686689387182491e-26,1.276364391287347e-15,1.435069241870566e-131,8.813923737278178e-16,0.938,1.3953327996418118e-73,5.3494218209058836e-14,3.9459827584297496e-38,7.054100714680969e-16,7.332574773496106e-15,0.0,0.0,0.03462575312178693,0.009999999999973254,0.049999999999998025,3.4284740841910495e-95,2.226094337749809e-93,0.0019999999999924917,7.200163270430002e-143
1.020588295353796e-18,0.054700809901540644,2.639726927971246e-16,2.2709214981290512e-26,1.9145465885148587e-15,8.185555564799124e-131,1.3220887205802598e-15,0.938,6.527677530200797e-73,8.024132756052779e-14,1.1283044466842447e-37,1.0581149498571843e-15,1.099886216123266e-14,0.0,0.0,0.034625753121755,0.009999999999959881,0.04999999999999703,1.9748358357739536e-91,1.2477537999746876e-92,0.0019999999999887373,4.822938962720573e-142
1.3607843945560712e-18,0.054700809901540644,3.5196359059694875e-16,3.8739249115951805e-26,2.552728785424719e-15,6.815154805140466e-130,1.7627851625501983e-15,0.938,2.1058760606745542e-72,1.069884370070187e-13,2.379920856747842e-37,1.4108197331385708e-15,1.4665149542278052e-14,0.0,0.0,0.034625753121723064,0.009999999999946508,0.04999999999999604,4.607494088861991e-91,4.554943791403127e-92,0.001999999999984983,3.898317731710257e-141
2.041176592960622e-18,0.054700809901540644,5.279453862038629e-16,8.02046945728145e-26,3.829093178498933e-15,2.4561531609659776e-128,2.6441782697249363e-15,0.938,1.1591726805146776e-71,1.6048265612301107e-13,6.500301975588184e-37,2.1162290764894726e-15,2.1997724288665107e-14,0.0,0.0,0.0346257531216592,0.00999999999991976,0.049999999999994056,6.259640111143505e-91,2.96672153126274e-91,0.0019999999999774742,1.5238706836697992e-139
2.7215687913651723e-18,0.054700809901540644,7.039271818221616e-16,1.36407178240455e-25,5.105457570405031e-15,1.5276371391997304e-127,3.52557172668042e-15,0.938,3.720094035327457e-71,2.1397687558843273e-13,1.3600806056992563e-36,2.8216380700956527e-15,2.933029901044638e-14,0.0,0.0,0.03462575312159533,0.009999999999893013,0.04999999999999207,1.0467745165266768e-90,1.0907251789009788e-90,0.0019999999999699655,1.0650602731810277e-138
3.4019609897697227e-18,0.054700809901540644,8.79908977452658e-16,2.083993457064429e-25,6.3818219610595756e-15,7.789740594125665e-127,4.406965558400817e-15,0.938,9.720486130983273e-71,2.6747109542824283e-13,2.4759747674149498e-36,3.5270466889755156e-15,3.6662873705864324e-14,0.0,0.0,0.03462575312153147,0.009999999999866265,0.04999999999999009,1.8117895818187644e-90,3.212244902862399e-90,0.0019999999999624567,5.745787650168773e-138
4.762745386578824e-18,0.054700809901540644,1.2318725687510107e-15,4.007445482135973e-25,8.93455073853539e-15,2.568911157254392e-125,6.169754369675745e-15,0.938,5.437651804873134e-70,3.7445953625454397e-13,6.537303562560292e-36,4.937862779019322e-15,5.132802301595425e-14,0.0,0.0,0.034625753121403736,0.009999999999812772,0.049999999999986125,2.207453535762678e-90,2.695637981272748e-89,0.0019999999999474397,3.509807572687317e-136
7.484314180197027e-18,0.054700809901540644,1.9357997514962412e-15,9.77695299715404e-25,1.4040008278247703e-14,2.057653982625229e-123,9.695336555474328e-15,0.938,5.776537323470453e-69,5.884364224658106e-13,2.527871650040738e-35,7.75949039632817e-15,8.065832131512557e-14,0.0,0.0,0.034625753121148274,0.009999999999705782,0.0499999999999782,2.987018200023188e-90,5.179484887424097e-88,0.0019999999999174055,5.543864248010357e-134
1.0205882973815229e-17,0.054700809901540644,2.6397269344396742e-15,1.8112135835179492e-24,1.914546579762345e-14,1.877751788605525e-122,1.3220924830826775e-14,0.938,2.4380212975871755e-68,8.024133147605135e-13,6.273547154461606e-35,1.0581111924710321e-14,1.0998861918591756e-13,0.0,0.0,0.03462575312089281,0.009999999999598793,0.04999999999997028,1.2685497172528362e-88,2.7236446046729224e-87,0.0019999999998873714,5.75776185976105e-133
1.5649020561051635e-17,0.054700809901540644,4.0475813009209714e-15,4.247720787084475e-24,2.935638077538366e-14,1.4400882089888664e-120,2.0272119644620212e-14,0.938,2.2381798553228772e-67,1.23036711759466e-12,2.2785594415900156e-34,1.622433672026698e-14,1.6864921364275092e-13,0.0,0.0,0.03462575312038189,0.009999999999384817,0.04999999999995442,1.7029330611339287e-88,4.1115527874171225e-86,0.001999999999827303,7.776266648300479e-131
2.6535295735524443e-17,0.054700809901540644,6.863290036261243e-15,1.2198566193834053e-23,4.977821048694297e-14,1.9728207692265357e-118,3.4374582322902634e-14,0.938,3.529877985080107e-66,2.0862747962402582e-12,1.1386343124881536e-33,2.7510713268208264e-14,2.859703974175012e-13,0.0,0.0,0.03462575311936003,0.009999999998956862,0.04999999999992271,2.420668888964012e-86,1.2342263990372717e-84,0.001999999999707166,2.119096013539276e-128
4.830784608447006e-17,0.054700809901540644,1.2494707516452333e-14,4.0411363385194433e-23,9.062186893423445e-14,6.110580497002842e-116,6.25797998735658e-14,0.938,7.768989122670176e-65,3.798090445431998e-12,7.058535288989909e-33,5.0083174200085856e-14,5.206127444117012e-13,0.0,0.0,0.03462575311731632,0.009999999998100955,0.049999999999859296,3.6838384248312566e-86,5.359053971317204e-83,0.001999999999466892,1.3094168821206117e-125
9.185294678236129e-17,0.054700809901540644,2.3757542514876596e-14,1.4608128927150138e-22,1.7230918192551657e-13,2.2568733882021082e-113,1.189914037209906e-13,0.938,2.048873451299225e-63,7.221722911387358e-12,4.945844607479522e-32,9.522692743811525e-14,9.898973561790696e-13,0.0,0.0,0.034625753113228894,0.00999999999638914,0.04999999999973246,7.730755868426928e-85,2.812030702309062e-81,0.0019999999989863447,9.669212910071436e-123
1.3539804748025254e-16,0.054700809901540644,3.502037756402356e-14,3.1741027569494428e-22,2.539964897124016e-13,2.587956342306607e-112,1.754045658587635e-13,0.938,1.1149649901331753e-62,1.0645356934067446e-11,1.5110216472493416e-31,1.4036912254629252e-13,1.459181858318494e-12,0.0,0.0,0.03462575310914147,0.009999999994677326,0.049999999999605624,1.4540658048735888e-83,1.8673426348046974e-80,0.0019999999985057973,1.2358108879691693e-121
2.2248824887603504e-16,0.054700809901540644,5.754604781448528e-14,8.570453255477857e-22,4.1737108967299074e-13,4.3062916015271017e-110,2.882355647264035e-13,0.938,1.4325139996345478e-61,1.7492629649322853e-11,6.716936720241245e-31,2.306488386520342e-13,2.3977505337138205e-12,0.0,0.0,0.03462575310096661,0.009999999991253696,0.04999999999935196,2.8204551842701766e-82,4.088293722118945e-79,0.0019999999975447032,3.700287769236293e-119
3.004435460567795e-16,0.054700809901540644,7.770899732446431e-14,1.562836923447195e-21,5.636092858175182e-13,4.184933804210994e-109,3.892369895169712e-13,0.938,5.5592719874599634e-61,2.362169618902823e-11,1.6046733537207335e-30,3.1145381618918633e-13,3.237872228817008e-12,0.0,0.0,0.03462575309364922,0.009999999988189172,0.0499999999991249,1.708524540025558e-81,1.8615746121725764e-78,0.0019999999966844183,3.7506226105569636e-118
3.783988432375239e-16,0.054700809901540644,9.787194699700302e-14,2.4790582453152063e-21,7.098474652825589e-13,2.159326138643171e-108,4.902434076154712e-13,0.938,1.610164811830782e-60,2.97507677170239e-11,3.148125377539933e-30,3.9225380093275857e-13,4.077993572575671e-12,0.0,0.0,0.03462575308633182,0.009999999985124648,0.049999999998897836,7.2011630611083865e-81,6.365215718616097e-78,0.0019999999958241342,2.2538497517405545e-117
4.563541404182683e-16,0.054700809901540644,1.1803489683210112e-13,3.605709290392526e-21,8.560856280681146e-13,1.008973115135258e-107,5.912548187288204e-13,0.938,3.879462201600232e-60,3.5879844233016795e-11,5.4500248924462364e-30,4.730487931758277e-13,4.9181145649899535e-12,0.0,0.0,0.03462575307901441,0.009999999982060123,0.049999999998670774,2.4285034306959985e-80,1.7438887621666213e-77,0.0019999999949638497,1.1107447801978889e-116
5.343094375990127e-16,0.054700809901540644,1.3819784682975829e-13,4.942790059387896e-21,1.0023237741741879e-12,3.858258880852157e-107,6.922712225507563e-13,0.938,8.205427237111287e-60,4.200892573670065e-11,8.665028018712844e-30,5.538387932246495e-13,5.758235206060004e-12,0.0,0.0,0.034625753071697005,0.009999999978995599,0.04999999999844371,6.877021857143728e-80,4.125806387077356e-77,0.001999999994103566,4.5205078469327367e-116
