Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),H2(20),H2X(33)
3.576287111920633e-20,0.048764219312884285,2.230533370891935e-17,0.938,0.0,0.0,0.03086787603596517,0.009999999999999868,0.04999999999999911,1.2819237433953777e-104,2.011416145304378e-104,0.001999999999999955,1.448740095757577e-158,3.250384801842846e-134,8.8454361887654395e-16,5.146764409894783e-78,2.654811293889064e-16,1.8902965553060286e-47,1.357170813221264e-17,3.63901055178536e-17,8.733625324312706e-18,5.966269987192005e-32,3.9997706936723464e-149,1.1130134030634997e-108,1.3907286395303604e-44,1.7430878385551415e-46
7.152574981755464e-20,0.048764219312884285,4.461067239734721e-17,0.938,0.0,0.0,0.03086787603596394,0.009999999999999735,0.04999999999999821,2.051078222679558e-103,1.2873067182552797e-102,0.00199999999999991,1.483510810740657e-155,8.32098841377577e-132,1.7690874246258811e-15,1.6469650959777913e-76,5.309623152929712e-16,1.5122375249022833e-46,2.714341888825007e-17,7.278021874754003e-17,1.7467252499520975e-17,2.386508374476745e-31,2.047883908972404e-146,1.4246577221910605e-106,1.112583198459299e-43,1.3944706120591932e-45
1.4305150721425125e-19,0.048764219312884285,8.922135053137629e-17,0.938,0.0,0.0,0.030867876035961476,0.00999999999999947,0.049999999999996415,3.281725343803022e-102,8.23876414694056e-101,0.0019999999999998196,1.5191155431472348e-152,2.130173418105058e-129,3.538175034365128e-15,5.270289029487441e-75,1.0619246878581835e-15,1.2097901324646295e-45,5.4286839643137783e-17,1.4556044520620046e-16,3.493450684993359e-17,9.546034258754785e-31,1.0485168874930777e-143,1.8235622117211725e-104,8.900666876015124e-43,1.1155766218539087e-44
2.8610302200764446e-19,0.048764219312884285,1.7844270982812762e-16,0.938,0.0,0.0,0.030867876035956553,0.009999999999998939,0.04999999999999282,3.281725343803505e-102,5.272809224135935e-99,0.0019999999999996392,3.843792162397456e-149,5.453244000478343e-127,7.076350246805912e-15,1.686492540966623e-73,2.1238494360169408e-15,9.67832151436518e-45,1.0857367812416477e-16,2.9112089812067164e-16,6.986901555074311e-17,3.818413856989775e-30,1.3272941299866549e-140,2.3341596508938147e-102,7.120534241749291e-42,8.924613435185601e-44
5.722060515944309e-19,0.048764219312884285,3.568854405364018e-16,0.938,0.0,0.0,0.030867876035946703,0.009999999999997877,0.04999999999998564,3.28172534386689e-102,3.3745977901198104e-97,0.0019999999999992784,3.9429078219858273e-146,1.396030332104532e-124,1.4152700643536646e-14,5.396775944216199e-72,4.2476989444477825e-15,7.742657400514459e-44,2.1714734297122626e-16,5.822418039382155e-16,1.3973803295229935e-16,1.527365574548118e-29,6.803650470314944e-138,2.9877240693904947e-100,5.69642805073569e-41,7.139690822735143e-43
1.144412110768004e-18,0.048764219312884285,7.137709504120253e-16,0.938,0.0,0.0,0.030867876035927007,0.009999999999995754,0.04999999999997127,3.2817253518237437e-102,2.1597423184175546e-95,0.0019999999999985563,4.037553250201558e-143,3.573836701867994e-122,2.8305401324394778e-14,1.7269680859724927e-70,8.495398009762763e-15,6.1941260074813756e-43,4.3429462420539043e-16,1.1644836155277088e-15,2.794760677551605e-16,6.109462370133967e-29,3.483476619774697e-135,3.824285791485196e-98,4.557143281061176e-40,5.71175251273461e-42
1.7166181699415768e-18,0.048764219312884285,1.0706565087467134e-15,0.938,0.0,0.0,0.03086787603590731,0.00999999999999363,0.0499999999999569,1.8906020856891195e-98,1.2105626435712584e-94,0.0019999999999978342,2.7045042457359793e-142,2.7134375594441697e-121,4.245810189264956e-14,8.079141120806207e-70,1.2743097123531029e-14,1.7711329133869074e-42,6.514418569796062e-16,1.7467254270716074e-15,4.1921410255777027e-16,1.2982607593452025e-28,1.9869557029634393e-134,2.5310495095673156e-97,1.3529020474528898e-39,1.6956764952312147e-41
2.2888242291151496e-18,0.048764219312884285,1.427542115540455e-15,0.938,0.0,0.0,0.030867876035887615,0.009999999999991507,0.04999999999994253,4.410967314694936e-98,4.419176605225881e-94,0.001999999999997112,2.1860149257998665e-141,1.3351733707274849e-120,5.661080234830101e-14,2.606389205090295e-69,1.699079628575257e-14,3.7358322775811034e-42,8.685890412938849e-16,2.3289672385699113e-15,5.589521373601288e-16,2.214680125434692e-28,1.654305594075044e-133,1.1428454319476645e-96,2.9479026635160145e-39,3.6947897547407545e-41
3.4332363474622957e-18,0.048764219312884285,2.141313442858336e-15,0.938,0.0,0.0,0.030867876035848223,0.009999999999987259,0.04999999999991379,5.992625097514788e-98,2.8782931374421565e-93,0.001999999999995668,8.545232555897312e-140,1.6956523009235258e-119,8.491620299533077e-14,1.4346781544967107e-68,2.5486194723912492e-14,1.0203716632846183e-41,1.3028832961899698e-15,3.4934508614595116e-15,8.384282069642559e-16,4.5852139029436105e-28,5.962046048709166e-132,1.321381517283147e-95,8.556853863130966e-39,1.0724834337320052e-40
4.5776484658094414e-18,0.048764219312884285,2.8550849483773503e-15,0.938,0.0,0.0,0.03086787603580883,0.00999999999998301,0.049999999999885046,1.0021168153219967e-97,1.0582140428385185e-92,0.001999999999994224,5.972414199795357e-139,8.675239171990212e-119,1.1322160322827788e-13,4.604263817874094e-68,3.398159334025229e-14,2.1349588369142923e-41,1.7371773728816717e-15,4.657934484181444e-15,1.1179042765674586e-15,7.798247912566151e-28,3.708173569365299e-131,5.945429839849982e-95,1.8712877659291534e-38,2.3454002098332924e-40
