Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),H2(20)
2.4324439243587528e-17,0.054700809901540644,1.890094287491585e-14,0.938,0.0,0.0,0.03462575312095834,0.009999999999904377,0.04999999999935018,1.5346209662756786e-91,2.618014594651931e-83,0.001999999999967495,1.0930851759240584e-124,9.920523953828039e-107,6.37200115721068e-13,9.16865072829322e-62,1.9124517659292588e-13,1.7309997277064177e-37,1.2609367201179173e-14,2.621440543458239e-14,6.2914573450965246e-15,1.4227019415126715e-25,4.568880789279985e-118,6.057851660236032e-86,1.6261361559359474e-35
4.124578828747736e-17,0.054700809901540644,3.204949446294721e-14,0.938,0.0,0.0,0.0346257531203375,0.009999999999837857,0.04999999999889814,2.1987856007482393e-89,7.858860739023625e-82,0.001999999999944882,2.978736375203473e-122,1.0116310103120026e-104,1.0804695753383854e-12,1.4460014087885612e-60,3.2428536905646105e-13,8.650095716699963e-37,2.138103132353792e-14,4.445051336658252e-14,1.0668123325139543e-14,4.0857026508383924e-25,6.259028658380696e-116,3.1472709364045296e-84,8.152163213153566e-35
7.508848637525702e-17,0.054700809901540644,5.834676910928402e-14,0.938,0.0,0.0,0.03462575311909581,0.009999999999704818,0.04999999999799406,2.6878623290668046e-89,3.412322726714912e-80,0.0019999999998996563,1.8405866804312197e-119,1.6004975482721648e-102,1.967008035660033e-12,3.1825169262503727e-59,5.903659254382073e-13,5.3623018232946234e-36,3.892418809543994e-14,8.092272873365449e-14,1.9421455284203405e-14,1.3535100531561453e-24,1.9386467582416695e-113,2.5005891989950136e-82,5.059655145158559e-34
1.4277388255081634e-16,0.054700809901540644,1.1094200426930599e-13,0.938,0.0,0.0,0.034625753116612444,0.009999999999438737,0.049999999996185894,4.78670750598619e-89,1.7905088282682971e-78,0.001999999999809205,1.359137817998319e-116,3.194475269292138e-100,3.7400831206566565e-12,8.392971193972447e-58,1.1225277240066564e-12,3.757311221280226e-35,7.400981576172984e-14,1.538671574800892e-13,3.692811919824241e-14,4.892745251020538e-24,7.160072840076707e-111,2.4995727663808176e-80,3.5465890671872524e-33
2.78144674901935e-16,0.054700809901540644,2.1613521795626463e-13,0.938,0.0,0.0,0.034625753111645716,0.009999999998906576,0.04999999999256958,1.120424727763689e-88,1.0361184154103993e-76,0.001999999999628303,1.1780725990023956e-113,7.20335068657553e-98,7.286225948085302e-12,2.4339586482232384e-56,2.186854064260902e-12,2.8096351992037966e-34,1.4417832768672887e-13,2.997560070221309e-13,7.194144700996544e-14,1.8568632484572007e-23,3.1038647720465152e-108,2.82020551778211e-78,2.6524101547554365e-32
4.1351546725305364e-16,0.054700809901540644,3.213320893356018e-13,0.938,0.0,0.0,0.03462575310667898,0.009999999998374415,0.04999999998895327,1.1762201536858604e-85,7.021963778857723e-76,0.001999999999447401,1.5279305865438207e-112,6.949612454314042e-97,1.0832358985447005e-11,1.3553269332315442e-55,3.251184061874775e-12,8.753877388917794e-34,2.1434318186512432e-13,4.456448459630703e-13,1.0695477479988176e-13,4.104107680022114e-23,3.61700942520291e-107,2.3580690245129234e-77,8.264372970984263e-32
5.488862596041723e-16,0.054700809901540644,4.265326182254266e-13,0.938,0.0,0.0,0.03462575310171226,0.009999999997842254,0.04999999998533697,3.226917279042498e-85,2.916064569738178e-75,0.0019999999992664987,1.4745171932391319e-111,4.032696236825824e-96,1.4378482232768636e-11,4.835062140138035e-55,4.315517716666385e-12,1.9778996295526412e-33,2.845043784788023e-13,5.915336743029098e-13,1.4196810256799104e-13,7.231007995972261e-23,3.363247408440807e-106,1.2321686009306834e-76,1.8673571029115164e-31
6.842570519552909e-16,0.054700809901540644,5.317368044380022e-13,0.938,0.0,0.0,0.034625753096745544,0.009999999997310093,0.04999999998172069,5.691654714763973e-85,9.25661859672427e-75,0.0019999999990855965,1.0238906008685813e-110,1.757468943320598e-95,1.792459569007717e-11,1.3448032170187602e-54,5.379855028447999e-12,3.750867706028557e-33,3.546619177154943e-13,7.374224920416507e-13,1.7698143031429312e-13,1.1237564450682437e-22,2.1961721552440557e-105,4.892869829703234e-76,3.541335970378335e-31
9.549986366575283e-16,0.054700809901540644,7.421561481357785e-13,0.938,0.0,0.0,0.034625753086812136,0.009999999996245772,0.04999999997448814,9.345385685970651e-85,5.8081800513842596e-74,0.001999999998723792,2.7425777018051295e-109,2.069511656363347e-94,2.501679323475377e-11,6.631627975720643e-54,7.508540622285623e-12,9.910233792253212e-33,4.949660247535292e-13,1.029200095715841e-12,2.470080857414749e-13,2.1889646827184104e-22,4.785505360416589e-104,4.745513577886816e-75,9.357126375379186e-31
1.2257402213597655e-15,0.054700809901540644,9.5259011892427e-13,0.938,0.0,0.0,0.034625753076878756,0.009999999995181452,0.04999999996725563,1.4633636550590904e-84,2.2353335241786287e-73,0.001999999998361988,2.118622310601664e-108,1.1363651040272388e-93,3.21089516196906e-11,2.1584995270300364e-53,9.637240841883014e-12,2.0655794534604918e-32,6.35255504483849e-13,1.32097765698565e-12,3.1703474108142505e-13,3.6060357079182842e-22,3.407614050557839e-103,2.2735233300845827e-74,1.9503943947833662e-30
1.4964818060620027e-15,0.054700809901540644,1.1630387152196183e-12,0.938,0.0,0.0,0.03462575306694539,0.009999999994117131,0.04999999996002317,3.1906923773995426e-84,6.706926264000973e-73,0.0019999999980001835,1.1826392939082086e-107,4.582745028247575e-93,3.920107084511245e-11,5.609935638195694e-53,1.1765955685656334e-11,3.7358634558051046e-32,7.755303584902681e-13,1.6127551758510864e-12,3.870613963341419e-13,5.374969762374024e-22,1.7541873223458767e-102,8.143739321698636e-74,3.5277125840482035e-30
1.7672233907642399e-15,0.054700809901540644,1.3735019354516048e-12,0.938,0.0,0.0,0.03462575305701206,0.00999999999305281,0.049999999952790745,8.164973412293592e-84,1.7263232251771925e-72,0.001999999997638379,5.46356630669393e-107,1.553606714882273e-92,4.629315091124188e-11,1.262707441461782e-52,1.3894685152035393e-11,6.137829613019617e-32,9.157905883429629e-13,1.904532652312159e-12,4.570880514996233e-13,7.495767088342679e-22,7.360469660484326e-102,2.4701811821351815e-73,5.7961410185344514e-30
2.3087065601687147e-15,0.054700809901540644,1.7944722417020884e-12,0.938,0.0,0.0,0.034625753037145456,0.00999999999092417,0.049999999938326,5.474748617518179e-83,9.371175568029221e-72,0.001999999996914771,1.4688466712271097e-105,1.8360471811369633e-91,6.047719356647742e-11,4.955713206666722e-52,1.8152187946587422e-11,1.365845698080651e-31,1.1962671816104162e-12,2.4880874780212428e-12,5.971413615688727e-13,1.2792952485763305e-21,1.1162591750992971e-100,1.9208282243808773e-72,1.2899494662966382e-29
2.7960414126327417e-15,0.054700809901540644,2.1733955159545743e-12,0.938,0.0,0.0,0.03462575301926559,0.009999999989008393,0.04999999992530786,2.026045350816332e-82,2.9530300787379758e-71,0.0019999999962635236,8.915724674220504e-105,8.268281105846862e-91,7.324269803356984e-11,1.2913334165058923e-51,2.198399045575987e-11,2.424889704293602e-31,1.4486461161812204e-12,3.013286676136574e-12,7.231893403328339e-13,1.8763794081604048e-21,5.916528658563496e-100,7.272919530443357e-72,2.2903635150606257e-29
3.2833762650967688e-15,0.054700809901540644,2.5523661481168976e-12,0.938,0.0,0.0,0.03462575300138581,0.009999999987092617,0.049999999912289865,6.100841692604983e-82,7.668501349396236e-71,0.0019999999956122764,4.094752472316369e-104,2.8828253947628836e-90,8.600807562790823e-11,2.8714393556978806e-51,2.5815840318530426e-11,3.925789267933815e-31,1.7009776921381794e-12,3.5384857368618913e-12,8.49237318814124e-13,2.5874676319830065e-21,2.372237019893225e-99,2.184654929500243e-71,3.708346257867621e-29
3.770711117560796e-15,0.054700809901540644,2.9313841293082813e-12,0.938,0.0,0.0,0.03462575298350612,0.00999999998517684,0.04999999989927199,1.5774232917430231e-81,1.7358288638702117e-70,0.00199999999496103,1.5135667212315927e-103,8.362410757034797e-90,9.877332635075271e-11,5.706077019180141e-51,2.964773752601846e-11,5.945485898766999e-31,1.953261918361828e-12,4.063684660197245e-12,9.75285297012732e-13,3.412560056647169e-21,7.937448748930247e-99,5.628425120475613e-71,5.616699572407567e-29
4.74538082248885e-15,0.054700809901540644,3.689562103252423e-12,0.938,0.0,0.0,0.03462575294774696,0.009999999981345285,0.04999999987323661,8.171032506424521e-81,7.040859474469144e-70,0.0019999999936585367,1.7869795402994506e-102,5.6830364751197774e-89,1.2430344718700194e-10,1.814800305392512e-50,3.7311673939621704e-11,1.1849158649229584e-30,2.4576883571340273e-12,5.114082094698246e-12,1.227381252561859e-12,5.404758054954579e-21,6.9555635145458e-98,2.941260614654298e-70,1.1196024622185037e-28
6.6947202323449585e-15,0.054700809901540644,5.206485848747258e-12,0.938,0.0,0.0,0.03462575287622961,0.009999999973682177,0.04999999982116738,1.0238402630707663e-79,6.192223284028467e-69,0.0019999999910535514,8.918428354511655e-101,1.2168889074022407e-87,1.7536216645704415e-10,1.0539329482470497e-49,5.264011451270207e-11,3.3269375335158465e-30,3.4659734286101793e-12,7.214875315022783e-12,1.7315731602674566e-12,1.0757210471381553e-20,1.953183084918166e-96,3.8238281858068054e-69,3.144786839720619e-28
8.644059642201067e-15,0.054700809901540644,6.724166184297772e-12,0.938,0.0,0.0,0.034625752804713535,0.00999999996601907,0.04999999976910018,5.827613054238473e-79,2.794190281812985e-68,0.0019999999884485684,8.93592704229048e-100,8.345093674744684e-87,2.2641885592438617e-10,3.747667497107416e-49,6.796931160686894e-11,7.161297753513121e-30,4.473501898735432e-12,9.315666337113249e-12,2.235765063448937e-12,1.79337453937777e-20,1.678930049004687e-95,2.1405050957105105e-68,6.77178158303028e-28
