Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NN_ads(36)
1.154243794864292e-20,0.048764219312884285,2.818770563374616e-18,4.191170142245116e-31,1.1205485632221013e-17,1.0572865058928355e-155,2.8190490524140414e-18,0.938,1.9033627339033643e-86,8.568382138101784e-16,2.7457004563951016e-45,2.7848903858738924e-22,1.1744877347262782e-16,0.0,0.0,0.028857280194767295,0.009999999999999573,0.049999999999999996,1.0595050128052185e-91,5.377963686022218e-129,0.00199999999999988,7.115024121467364e-166,2.5038694027627416e-106
2.308487834344783e-20,0.048764219312884285,5.637541724124468e-18,1.6764683233653936e-30,2.241097363909252e-17,5.413310417929059e-153,5.6380987022640155e-18,0.938,6.090762582502607e-85,1.7136766092079565e-15,2.196560772438774e-44,5.569781361941915e-22,2.348975718332615e-16,0.0,0.0,0.028857280194766303,0.009999999999999145,0.04999999999999998,1.6952082129496735e-90,3.4418978121728577e-127,0.0019999999999997598,7.285789426103592e-163,8.012383028823535e-105
4.6169759133057645e-20,0.048764219312884285,1.1275084045623445e-17,6.705873826395579e-30,4.4821949652529606e-17,2.771615831685409e-150,1.1276198001968266e-17,0.938,1.9490443198423344e-83,3.4273534000031303e-15,1.7572487808798511e-43,1.113956331407435e-21,4.697951685466115e-16,0.0,0.0,0.028857280194764322,0.009999999999998288,0.04999999999999996,2.712333294688253e-89,2.2028149367881538e-125,0.001999999999999519,7.460650791145226e-160,2.563962719617705e-103
9.233952071227729e-20,0.048764219312884285,2.255016868861847e-17,2.68234963714445e-29,8.964390167818007e-17,1.419067535348284e-147,2.2552396601393956e-17,0.938,6.236942292999045e-82,6.854706981591948e-15,1.405799089874997e-42,2.227912721832478e-21,9.395903619416416e-16,0.0,0.0,0.028857280194760356,0.009999999999996574,0.04999999999999992,4.339733394677379e-88,1.4098016673829935e-123,0.001999999999999038,7.639707647020041e-157,8.204680943391493e-102
1.8467904387071657e-19,0.048764219312884285,4.510033797459684e-17,1.0729398761745586e-28,1.7928780572458615e-16,7.265626365625648e-145,4.5104793800314136e-17,0.938,1.9958216088784425e-80,1.3709414144763466e-14,1.124639297967777e-41,4.455825502676787e-21,1.8791807486050227e-15,0.0,0.0,0.02885728019475243,0.009999999999993146,0.04999999999999983,6.943573530054906e-87,9.022731016326416e-122,0.001999999999998076,7.823061260668158e-154,2.6254979403832475e-100
3.693580901875951e-19,0.048764219312884285,9.020067654650682e-17,4.2917595473281015e-28,3.58575613797819e-16,3.72000084585566e-142,9.02095881984296e-17,0.938,6.386629268589329e-79,2.7418828471082042e-14,8.997114488002659e-41,8.911651064342302e-21,3.75836152142507e-15,0.0,0.0,0.02885728019473657,0.009999999999986292,0.04999999999999965,1.110971772737953e-85,5.774547960862508e-120,0.0019999999999961516,8.010815047059998e-151,8.401593471069359e-99
7.387161828213521e-19,0.048764219312884285,1.8040135369013974e-16,1.7167038274541023e-27,7.171512298659672e-16,1.90464046753616e-139,1.8041917699576113e-16,0.938,2.0437213851693893e-77,5.483765712362132e-14,7.197691632088324e-40,1.782330218758091e-20,7.5167230650383e-15,0.0,0.0,0.028857280194704852,0.009999999999972583,0.04999999999999929,1.7775548432959062e-84,3.6957107302705025e-118,0.001999999999992303,8.203074756767679e-148,2.688509921431149e-97
1.4774323680888664e-18,0.048764219312884285,3.608027079766576e-16,6.866815326838746e-27,1.4343024616889942e-15,2.4110414838589922e-136,3.6083835459482646e-16,0.938,6.539908463233188e-76,1.0967531442830846e-13,5.758153322318337e-39,3.5646604433688466e-20,1.503344614415731e-14,0.0,0.0,0.02885728019464142,0.009999999999945164,0.04999999999999857,1.7775550003084225e-84,2.3652548786527758e-116,0.001999999999984606,2.0756096929942066e-144,7.897498354517882e-97
2.954864738623895e-18,0.048764219312884285,7.216054165467011e-16,2.746726134120814e-26,2.8686049240819702e-15,1.235889099299983e-133,7.216767098105663e-16,0.938,2.0927707131118944e-74,2.1935062903611696e-13,4.6065226644696575e-38,7.12932089244249e-20,3.006689226996553e-14,0.0,0.0,0.028857280194514556,0.009999999999890326,0.04999999999999714,1.7775750970078515e-84,1.5137631259233275e-114,0.0019999999999692117,2.1291311598127783e-141,1.8315593002490655e-96
5.909729479693952e-18,0.048764219312884285,1.4432108336748193e-15,1.0986904543100874e-25,5.737209843855608e-15,6.327766449695542e-131,1.443353420312482e-15,0.938,6.696866289541761e-73,4.3870125824547075e-13,3.685218134151292e-37,1.42586417899983e-19,6.013378439186273e-14,0.0,0.0,0.028857280194260825,0.00999999999978065,0.04999999999999427,1.7801474339925683e-84,9.688084017067457e-113,0.0019999999999384234,2.180238923423562e-138,3.918193443492766e-96
